"LWPdate","gxDate","Pot","Species","Treat","Photo","Cond","Ci","Trmmol","VpdL","Tleaf","CO2S","TDR","Ladd","LWP.pd","LWP.md"
2012-11-09,2012-10-31,124,"eusi","wet",19.44,0.2716,246.2,2.732,1.078,27.552,375.562,19,8,-0.18,-0.16
2012-11-09,2012-11-06,124,"eusi","wet",14.109015514,0.272636185,283.8186303,3.7721622128,1.476867446,29.757746886,381.39418336,21,1,-0.18,-0.16
2012-11-09,2012-10-31,125,"eute","wet",20.3,0.1484,142,1.898,1.32,27.798,375.984,23,1,-0.16,-1.02
2012-11-09,2012-11-06,125,"eute","wet",22.196700048,0.3582020522,255.7763327,4.3263615994,1.3264989196,29.001862336,372.3559143,20,1,-0.16,-1.02
2012-11-09,2012-10-31,126,"pira","wet",28.38,0.3254,234.6,3.382,1.09,27.984,388.228,11,48,-0.42,-1.12
2012-11-09,2012-11-06,126,"pira","wet",24.608299582,0.3192643658,251.11934912,5.1606531396,1.6877400274,29.289363098,390.56971436,18,8,-0.42,-1.12
2012-11-09,2012-11-06,127,"cacu","wet",21.587254826,0.432501175,287.66968692,6.006019398,1.502374715,29.48149109,383.1939392,12,45,-0.17,-1.01
2012-11-09,2012-10-31,127,"cacu","wet",13.82,0.0842,115.2,1.234,1.466,28.668,388.494,9,10,-0.17,-1.01
2012-11-09,2012-11-06,174,"eute","dry",8.679125383,0.0633528452,157.08463974,1.259812537,1.9789300304,30.908819198,389.32568968,6,1,-2.54,-2.98
2012-11-09,2012-10-31,174,"eute","dry",18.76,0.1768,192.2,2.186,1.286,27.266,376.858,6,23,-2.54,-2.98
2012-11-09,2012-10-31,175,"cacu","dry",11.04,0.094,188,2.02,2.144,31.254,390.562,6,23,-2.79,-3.22
2012-11-09,2012-11-06,175,"cacu","dry",0.3383136566,0.0175190352,355.88295134,0.3798934528,2.120723504,30.962626266,400.05992432,6,1,-2.79,-3.22
2012-11-09,2012-11-06,176,"pira","dry",1.2207583188,0.0137193322,246.15694384,0.287057859,2.044574028,30.632982638,399.77109988,6,1,-1.31,-1.69
2012-11-09,2012-10-31,176,"pira","dry",13.06,0.0916,147,1.486,1.626,28.916,387.398,8,5,-1.31,-1.69
2012-11-09,2012-10-31,177,"eusi","dry",19.5,0.169,177.6,1.864,1.144,26.892,376.988,6,23,-3.01,-3.52
2012-11-09,2012-11-06,177,"eusi","dry",3.7617335804,0.0292393054,179.13865904,0.5696824696,1.9187284326,30.311140442,395.86884766,5,1,-3.01,-3.52
2012-11-09,2012-10-31,216,"eusi","wet",19.16,0.2582,239,3.936,1.628,29.31816597,375.40202636,23,1,-0.25,-1.04
2012-11-09,2012-11-06,216,"eusi","wet",19.538241886,0.5269925674,310.27080734,6.6879325226,1.4116101728,27.86430092,384.24849244,22,1,-0.25,-1.04
2012-11-09,2012-11-06,217,"pira","wet",22.574510002,0.4206446886,283.72772868,5.9473726026,1.529325817,27.546690368,385.25668334,20,1,-0.3,-1.06
2012-11-09,2012-10-31,217,"pira","wet",22.08,0.2776,242,3.622,1.37,26.68283272,383.46086424,22,1,-0.3,-1.06
2012-11-09,2012-11-06,218,"cacu","wet",23.092080678,0.36181114,269.65940342,5.4678123426,1.6072262332,27.724280166,387.51723634,16,37,-0.12,-0.8
2012-11-09,2012-10-31,218,"cacu","wet",7.98,0.0922,238,1.826,1.998,29.484814832,390.13535154,18,8,-0.12,-0.8
2012-11-09,2012-11-06,219,"eute","wet",24.020101286,0.8085393786,304.3146175,6.3908074664,0.9955764998,27.20061531,368.7300537,23,1,-0.29,-0.85
2012-11-09,2012-10-31,219,"eute","wet",16.4,0.2738,271,2.398,0.942,26.358408356,379.8482666,18,8,-0.29,-0.85
2012-11-09,2012-11-06,254,"cacu","dry",1.1296649632,0.0137919754,256.57439786,0.294340516,2.107611082,28.132017898,399.35983888,6,1,-3.96,-4.8
2012-11-09,2012-10-31,254,"cacu","dry",6.2,0.0322,79.6,0.456,1.41,26.711470414,394.66794436,7,6,-3.96,-4.8
2012-11-09,2012-10-31,255,"eute","dry",15.68,0.2674,271.2,3.304,1.33,26.92447777,379.4229065,16,1,-1.45,-2.22
2012-11-09,2012-11-06,255,"eute","dry",14.819927696,0.1476710648,205.8611267,2.584004121,1.8096416338,27.885694504,382.18861084,7,1,-1.45,-2.22
2012-11-09,2012-10-31,256,"pira","dry",12.42,0.0984,167,1.98,2.04,29.688359834,384.2363037,8,5,-1.09,-1.5
2012-11-09,2012-11-06,256,"pira","dry",14.180738248,0.100822685,152.5717317,1.976336156,1.974651193,28.021725464,390.99865112,6,1,-1.09,-1.5
2012-11-09,2012-11-06,257,"eusi","dry",13.920456892,0.155444401,233.73301392,2.8267210912,1.8550554048,27.844853592,391.06453858,6,1,-1.85,-2.82
2012-11-09,2012-10-31,257,"eusi","dry",17.34,0.3174,282.6,2.794,0.948,26.078960418,382.37246094,8,5,-1.85,-2.82
2012-11-09,2012-10-31,304,"eusi","wet",23.32,0.5928,295.8,6.608,1.294,27.549697878,375.24711914,12,45,-0.27,-0.96
2012-11-09,2012-11-06,304,"eusi","wet",20.061096556,0.4957710172,292.95485564,4.8812944068,1.1339708296,27.52411156,373.4142212,16,37,-0.27,-0.96
2012-11-09,2012-11-06,305,"cacu","wet",21.81231809,0.329181699,260.6588649,4.513823897,1.4634566192,28.23658905,382.303656,14,42,-0.18,-1.4
2012-11-09,2012-10-31,305,"cacu","wet",28.06,0.4588,275.4,7.75,1.812,28.456151962,391.06083982,10,10,-0.18,-1.4
2012-11-09,2012-10-31,306,"eute","wet",23.38,0.4462,268.6,5.388,1.37,28.0665432,370.66679076,22,1,-1.75,-0.84
2012-11-09,2012-11-06,306,"eute","wet",18.588870326,0.6523871006,315.65698564,5.3456277418,0.9881063958,27.133952712,375.63684082,23,1,-1.75,-0.84
2012-11-09,2012-11-06,307,"pira","wet",16.226237926,0.2225269118,246.1826533,3.4268397904,1.6249252732,29.387294388,378.8975708,27,1,-0.25,-1.05
2012-11-09,2012-10-31,307,"pira","wet",25.66,0.29,229.4,5.642,2.024,29.367277528,388.72517698,21,1,-0.25,-1.05
2012-11-09,2012-11-06,358,"cacu","dry",8.7222906676,0.0668145208,174.18285652,1.076629267,1.6110100774,27.478131104,393.51965334,6,1,-2.25,-2.8
2012-11-09,2012-10-31,358,"cacu","dry",31.48,0.4708,263,8.742,1.998,29.320211794,389.43217162,10,1,-2.25,-2.8
